state,sex,age_group,population
MI,All Sexes,Under 25 years,3152264
MI,Female,Under 25 years,1501651
MI,Male,Under 25 years,1650613
MI,All Sexes,35-44 years,1188718
MI,Female,35-44 years,599541
MI,Male,35-44 years,589177
MI,All Sexes,45-54 years,1396551
MI,Female,45-54 years,707745
MI,Male,45-54 years,688806
MI,All Sexes,55-64 years,1362322
MI,Female,55-64 years,701584
MI,Male,55-64 years,660738
MI,All Sexes,65-74 years,870644
MI,Female,65-74 years,459457
MI,Male,65-74 years,411187
MI,All Sexes,75-84 years,452367
MI,Female,75-84 years,258960
MI,Male,75-84 years,193407
MI,All Sexes,85 years and over,204687
MI,Female,85 years and over,135777
MI,Male,85 years and over,68910
MI,All Sexes,Total,9835145
MI,Female,Total,4965260
MI,Male,Total,4869885
MN,All Sexes,25-34 years,745041
MN,Female,25-34 years,366540
MN,Male,25-34 years,378501
MN,All Sexes,Under 25 years,1752750
MN,Female,Under 25 years,839426
MN,Male,Under 25 years,913324
MN,All Sexes,35-44 years,671116
MN,Female,35-44 years,331455
MN,Male,35-44 years,339661
MN,All Sexes,45-54 years,756460
MN,Female,45-54 years,377922
MN,Male,45-54 years,378538
MN,All Sexes,55-64 years,710112
MN,Female,55-64 years,357886
MN,Male,55-64 years,352226
MN,All Sexes,65-74 years,431660
MN,Female,65-74 years,224538
MN,Male,65-74 years,207122
MN,All Sexes,75-84 years,233134
MN,Female,75-84 years,131914
MN,Male,75-84 years,101220
MN,All Sexes,85 years and over,114611
MN,Female,85 years and over,75046
MN,Male,85 years and over,39565
MN,All Sexes,Total,5414884
MN,Female,Total,2704727
MN,Male,Total,2710157
MO,All Sexes,25-34 years,800229
MO,Female,25-34 years,400138
MO,Male,25-34 years,400091
MO,All Sexes,Under 25 years,1942185
MO,Female,Under 25 years,925969
MO,Male,Under 25 years,1016216
MO,All Sexes,35-44 years,731234
MO,Female,35-44 years,367617
MO,Male,35-44 years,363617
MO,All Sexes,45-54 years,820875
MO,Female,45-54 years,415853
MO,Male,45-54 years,405022
MO,All Sexes,55-64 years,791105
MO,Female,55-64 years,409783
MO,Male,55-64 years,381322
MO,All Sexes,65-74 years,524097
MO,Female,65-74 years,279171
MO,Male,65-74 years,244926
MO,All Sexes,75-84 years,284040
MO,Female,75-84 years,163203
MO,Male,75-84 years,120837
MO,All Sexes,85 years and over,121797
MO,Female,85 years and over,80511
MO,Male,85 years and over,41286
MO,All Sexes,Total,6015562
MO,Female,Total,3042245
MO,Male,Total,2973317
MS,All Sexes,25-34 years,389596
